image,target
0,技
1,学
2,领
3,者
4,好
5,学
6,发
7,技
8,发
9,发
10,领
11,的
12,专
13,年
14,及
15,者
16,是
17,了
18,满
19,开
20,技
21,满
22,度
23,研
24,趋
25,士
26,域
27,这
28,者
29,者
30,势
31,度
32,认
33,。
34,情
35,是
36,并
37,势
38,术
39,有
40,热
41,联
42,议
43,度
44,体
45,者
46,的
47,动
48,议
49,是
50,研
51,者
52,开
53,域
54,有
55,在
56,术
57,在
58,。
59,热
60,士
61,活
62,立
63,为
64,的
65,他
66,会
67,域
68,这
69,建
70,由
71,技
72,爱
73,爱
74,热
75,发
76,这
77,织
78,。
79,有
80,动
81,域
82,度
83,在
84,科
85,佳
86,好
87,系
88,机
89,势
90,活
91,们
92,体
93,会
94,充
95,组
96,解
97,谷
98,有
99,为
100,是
101,趋
102,在
103,和
104,人
105,的
106,最
107,并
108,者
109,为
110,提
111,讨
112,学
113,与
114,最
115,所
116,专
117,体
118,绝
119,域
120,为
121,谷
122,域
123,对
124,以
125,们
126,建
127,们
128,专
129,被
130,者
131,旨
132,年
133,体
134,这
135,人
136,立
137,研
138,联
139,这
140,佳
141,发
142,发
143,者
144,研
145,被
146,以
147,是
148,的
149,由
150,科
151,组
152,与
153,由
154,爱
155,热
156,者
157,议
158,专
159,与
160,谷
161,建
162,。
163,术
164,是
165,趋
166,建
167,认
168,者
169,业
170,在
171,者
172,活
173,在
174,被
175,联
176,技
177,技
178,科
179,的
180,情
181,者
182,建
183,会
184,是
185,业
186,被
187,解
188,开
189,立
190,所
191,组
192,所
193,充
194,提
195,。
196,技
197,科
198,热
199,发
200,术
201,谷
202,旨
203,织
204,谷
205,趋
206,开
207,节
208,联
209,学
210,发
211,系
212,供
213,技
214,为
215,发
216,好
217,。
218,最
219,发
220,旨
221,技
222,讨
223,者
224,这
225,提
226,对
227,团
228,新
229,体
230,以
231,技
232,并
233,爱
234,活
235,的
236,者
237,。
238,组
239,的
240,势
241,绝
242,的
243,讨
244,建
245,对
246,充
247,开
248,新
249,和
250,团
251,者
252,所
253,士
254,织
255,研
256,领
257,有
258,趋
259,议
260,最
261,有
262,织
263,所
264,。
265,年
266,有
267,技
268,。
269,满
270,开
271,业
272,生
273,动
274,佳
275,有
276,技
277,系
278,新
279,年
280,提
281,活
282,开
283,开
284,歌
285,并
286,势
287,会
288,的
289,发
290,发
291,织
292,由
293,者
294,者
295,发
296,新
297,了
298,动
299,领
300,术
301,议
302,技
303,术
304,的
305,术
306,机
307,有
308,域
309,这
310,专
311,领
312,情
313,供
314,认
315,建
316,开
317,趋
318,情
319,并
320,度
321,提
322,会
323,术
324,节
325,了
326,为
327,术
328,充
329,了
330,技
331,体
332,会
333,对
334,年
335,开
336,好
337,所
338,会
339,他
340,发
341,域
342,会
343,士
344,是
345,度
346,会
347,这
348,并
349,士
350,领
351,充
352,提
353,学
354,者
355,活
356,有
357,生
358,们
359,有
360,佳
361,会
362,年
363,及
364,生
365,年
366,。
367,士
368,的
369,和
370,领
371,被
372,人
373,为
374,者
375,佳
376,领
377,。
378,势
379,业
380,人
381,术
382,他
383,解
384,的
385,技
386,业
387,活
388,和
389,机
390,绝
391,最
392,热
393,士
394,解
395,了
396,绝
397,的
398,提
399,研
400,解
401,者
402,专
403,节
404,节
405,者
406,联
407,域
408,度
409,机
410,旨
411,。
412,会
413,联
414,趋
415,开
416,了
417,认
418,人
419,谷
420,他
421,为
422,域
423,是
424,技
425,发
426,情
427,人
428,研
429,者
430,为
431,技
432,这
433,和
434,绝
435,谷
436,会
437,好
438,是
439,与
440,业
441,并
442,发
443,了
444,开
445,这
446,域
447,动
448,会
449,团
450,术
451,被
452,人
453,佳
454,所
455,认
456,组
457,旨
458,研
459,对
460,他
461,最
462,和
463,提
464,为
465,为
466,最
467,者
468,了
469,联
470,及
471,所
472,织
473,技
474,新
475,会
476,士
477,组
478,充
479,绝
480,学
481,歌
482,。
483,者
484,他
485,会
486,热
487,动
488,织
489,的
490,系
491,并
492,佳
493,。
494,士
495,供
496,被
497,年
498,和
499,对
500,是
501,研
502,学
503,在
504,者
505,讨
506,在
507,和
508,技
509,好
510,会
511,体
512,。
513,术
514,研
515,佳
516,机
517,活
518,技
519,所
520,的
521,者
522,势
523,的
524,度
525,组
526,。
527,组
528,技
529,了
530,技
531,士
532,开
533,开
534,。
535,技
536,体
537,绝
538,。
539,专
540,会
541,。
542,。
543,以
544,。
545,议
546,者
547,团
548,生
549,发
550,在
551,提
552,开
553,者
554,业
555,所
556,供
557,们
558,对
559,趋
560,组
561,的
562,的
563,由
564,的
565,及
566,技
567,充
568,对
569,发
570,爱
571,发
572,由
573,趋
574,立
575,域
576,年
577,旨
578,会
579,最
580,度
581,者
582,在
583,满
584,发
585,联
586,团
587,讨
588,人
589,认
590,发
591,会
592,是
593,们
594,人
595,研
596,好
597,绝
598,绝
599,领
600,立
601,旨
602,发
603,会
604,所
605,所
606,以
607,对
608,立
609,为
610,动
611,新
612,讨
613,发
614,人
615,会
616,。
617,。
618,们
619,旨
620,供
621,体
622,组
623,活
624,者
625,。
626,。
627,度
628,织
629,立
630,及
631,为
632,及
633,术
634,他
635,技
636,与
637,者
638,的
639,在
640,士
641,提
642,他
643,技
644,会
645,并
646,提
647,活
648,年
649,以
650,谷
651,机
652,热
653,他
654,领
655,。
656,歌
657,系
658,爱
659,的
660,的
661,在
662,对
663,热
664,域
665,体
666,有
667,这
668,的
669,。
670,者
671,技
672,联
673,满
674,趋
675,度
676,人
677,组
678,团
679,佳
680,与
681,技
682,解
683,生
684,及
685,动
686,情
687,绝
688,好
689,讨
690,所
691,旨
692,组
693,提
694,发
695,会
696,议
697,业
698,联
699,织
700,活
701,立
702,最
703,所
704,势
705,专
706,是
707,术
708,术
709,技
710,是
711,士
712,旨
713,人
714,的
715,者
716,以
717,科
718,学
719,会
720,开
721,所
722,热
723,域
724,度
725,爱
726,术
727,度
728,。
729,立
730,年
731,人
732,热
733,人
734,并
735,和
736,。
737,趋
738,者
739,技
740,者
741,者
742,学
743,的
744,他
745,满
746,所
747,织
748,生
749,是
750,是
